graph_index,exact_duplicate_routes,routes_with_repeated_nodes,routes_with_self_loops,overlapping_edges,overlapping_edge_usages
0,0,0,0,31,90
1,0,0,0,31,74
2,0,0,0,33,94
3,0,0,0,32,90
4,0,0,0,36,89
5,0,0,0,32,72
6,0,0,0,34,91
7,0,0,0,37,86
8,0,0,0,29,77
9,0,0,0,29,98
10,0,0,0,24,54
11,0,0,0,31,77
12,0,0,0,26,61
13,0,0,0,30,73
14,0,0,0,30,73
15,0,0,0,28,61
16,0,0,0,28,70
17,0,0,0,25,56
18,0,0,0,24,65
19,0,0,0,31,94
20,0,0,0,27,67
21,0,0,0,32,93
22,0,0,0,24,59
23,0,0,0,24,72
24,0,0,0,40,97
25,0,0,0,32,72
26,0,0,0,32,90
27,0,0,0,34,90
28,0,0,0,36,90
29,0,0,0,25,53
30,0,0,0,26,61
31,0,0,0,28,85
32,0,0,0,28,83
33,0,0,0,28,64
34,0,0,0,25,80
35,0,0,0,33,87
36,0,0,0,32,82
37,0,0,0,37,100
38,0,0,0,31,93
39,0,0,0,37,90
40,0,0,0,31,76
41,0,0,0,27,63
42,0,0,0,31,81
43,0,0,0,29,72
44,0,0,0,32,81
45,0,0,0,29,76
46,0,0,0,27,67
47,0,0,0,24,61
48,0,0,0,32,86
49,0,0,0,32,91
50,0,0,0,29,71
51,0,0,0,31,86
52,0,0,0,26,68
53,0,0,0,31,94
54,0,0,0,26,86
55,0,0,0,33,95
56,0,0,0,31,74
57,0,0,0,32,92
58,0,0,0,24,55
59,0,0,0,26,76
60,0,0,0,24,82
61,0,0,0,27,102
62,0,0,0,22,75
63,0,0,0,38,96
64,0,0,0,33,87
65,0,0,0,28,76
66,0,0,0,20,75
67,0,0,0,31,75
68,0,0,0,26,80
69,0,0,0,21,60
70,0,0,0,27,60
71,0,0,0,28,80
72,0,0,0,37,91
73,0,0,0,34,92
74,0,0,0,29,73
75,0,0,0,36,98
76,0,0,0,35,83
77,0,0,0,30,78
78,0,0,0,34,85
79,0,0,0,33,87
80,0,0,0,28,85
81,0,0,0,32,95
82,0,0,0,26,84
83,0,0,0,30,89
84,0,0,0,29,70
85,0,0,0,27,69
86,0,0,0,26,85
87,0,0,0,38,95
88,0,0,0,29,69
89,0,0,0,34,83
90,0,0,0,21,83
91,0,0,0,24,63
92,0,0,0,35,92
93,0,0,0,30,90
94,0,0,0,26,82
95,0,0,0,30,70
96,0,0,0,28,74
97,0,0,0,34,94
98,0,0,0,33,79
99,0,0,0,33,75
100,0,0,0,24,60
101,0,0,0,26,88
102,0,0,0,30,89
103,0,0,0,33,88
104,0,0,0,29,65
105,0,0,0,30,90
106,0,0,0,28,69
107,0,0,0,28,82
108,0,0,0,35,87
109,0,0,0,30,96
110,0,0,0,28,74
111,0,0,0,36,102
112,0,0,0,29,61
113,0,0,0,25,56
114,0,0,0,32,81
115,0,0,0,35,92
116,0,0,0,32,77
117,0,0,0,34,89
118,0,0,0,30,86
119,0,0,0,25,76
120,0,0,0,32,92
121,0,0,0,23,57
122,0,0,0,23,89
123,0,0,0,31,65
124,0,0,0,30,71
125,0,0,0,30,90
126,0,0,0,39,96
127,0,0,0,35,97
128,0,0,0,27,68
129,0,0,0,33,89
130,0,0,0,33,94
131,0,0,0,26,77
132,0,0,0,33,84
133,0,0,0,32,88
134,0,0,0,29,78
135,0,0,0,24,84
136,0,0,0,29,91
137,0,0,0,32,93
138,0,0,0,30,81
139,0,0,0,38,97
140,0,0,0,35,86
141,0,0,0,33,72
142,0,0,0,28,95
143,0,0,0,28,69
144,0,0,0,35,90
145,0,0,0,24,78
146,0,0,0,31,89
147,0,0,0,29,66
148,0,0,0,25,77
149,0,0,0,35,90
150,0,0,0,27,87
151,0,0,0,26,89
152,0,0,0,29,74
153,0,0,0,28,87
154,0,0,0,32,94
155,0,0,0,35,89
156,0,0,0,23,80
157,0,0,0,36,92
158,0,0,0,27,82
159,0,0,0,38,91
160,0,0,0,31,90
161,0,0,0,33,89
162,0,0,0,33,87
163,0,0,0,28,77
164,0,0,0,33,85
165,0,0,0,26,79
166,0,0,0,27,71
167,0,0,0,36,94
168,0,0,0,26,63
169,0,0,0,29,69
170,0,0,0,29,70
171,0,0,0,39,98
172,0,0,0,30,87
173,0,0,0,27,86
174,0,0,0,26,82
175,0,0,0,30,76
176,0,0,0,26,64
177,0,0,0,32,88
178,0,0,0,28,82
179,0,0,0,32,80
180,0,0,0,30,73
181,0,0,0,31,97
182,0,0,0,23,74
183,0,0,0,22,50
184,0,0,0,33,81
185,0,0,0,25,71
186,0,0,0,23,61
187,0,0,0,24,77
188,0,0,0,35,98
189,0,0,0,30,82
190,0,0,0,34,79
191,0,0,0,26,79
192,0,0,0,32,82
193,0,0,0,34,88
194,0,0,0,31,82
195,0,0,0,31,72
196,0,0,0,33,73
197,0,0,0,35,91
198,0,0,0,25,65
199,0,0,0,35,94
200,0,0,0,29,91
201,0,0,0,32,75
202,0,0,0,26,65
203,0,0,0,37,91
204,0,0,0,22,70
205,0,0,0,35,88
206,0,0,0,28,93
207,0,0,0,26,78
208,0,0,0,28,88
209,0,0,0,31,70
210,0,0,0,28,85
211,0,0,0,29,63
212,0,0,0,26,64
213,0,0,0,25,93
214,0,0,0,32,98
215,0,0,0,25,65
216,0,0,0,27,70
217,0,0,0,26,65
218,0,0,0,30,71
219,0,0,0,23,52
220,0,0,0,27,64
221,0,0,0,25,69
222,0,0,0,29,84
223,0,0,0,35,95
224,0,0,0,27,83
225,0,0,0,25,69
226,0,0,0,25,65
227,0,0,0,30,93
228,0,0,0,32,85
229,0,0,0,29,76
230,0,0,0,28,84
231,0,0,0,31,76
232,0,0,0,27,80
233,0,0,0,35,89
234,0,0,0,30,83
235,0,0,0,35,85
236,0,0,0,29,83
237,0,0,0,24,83
238,0,0,0,38,98
239,0,0,0,32,73
240,0,0,0,30,87
241,0,0,0,32,79
242,0,0,0,21,69
243,0,0,0,25,67
244,0,0,0,28,95
245,0,0,0,30,68
246,0,0,0,25,86
247,0,0,0,27,63
248,0,0,0,32,68
249,0,0,0,40,91
250,0,0,0,34,100
251,0,0,0,34,90
252,0,0,0,25,66
253,0,0,0,23,61
254,0,0,0,37,93
255,0,0,0,29,92
256,0,0,0,35,98
257,0,0,0,31,71
258,0,0,0,26,58
259,0,0,0,38,94
260,0,0,0,29,69
261,0,0,0,23,66
262,0,0,0,24,79
263,0,0,0,24,59
264,0,0,0,32,83
265,0,0,0,28,69
266,0,0,0,29,71
267,0,0,0,28,67
268,0,0,0,21,78
269,0,0,0,36,90
270,0,0,0,32,91
271,0,0,0,26,68
272,0,0,0,30,89
273,0,0,0,30,80
274,0,0,0,29,91
275,0,0,0,29,73
276,0,0,0,30,68
277,0,0,0,31,77
278,0,0,0,32,94
279,0,0,0,27,78
280,0,0,0,30,83
281,0,0,0,35,85
282,0,0,0,26,60
283,0,0,0,33,75
284,0,0,0,30,100
285,0,0,0,23,61
286,0,0,0,28,74
287,0,0,0,32,69
288,0,0,0,25,62
289,0,0,0,27,81
290,0,0,0,33,90
291,0,0,0,37,86
292,0,0,0,33,83
293,0,0,0,27,67
294,0,0,0,31,73
295,0,0,0,31,76
296,0,0,0,30,89
297,0,0,0,24,78
298,0,0,0,22,53
299,0,0,0,30,81
