graph_index,group,n_routes,min_route_len,max_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes
0,0,6,2,7,0,1.0,0.0,0.0,lc_lc_graph_0000,4.0121917724609375,52.7631950378418,393.48004150390625,474097.6875,50
1,0,6,2,7,1,0.0,1.0,0.0,lc_lc_graph_0001,3.939577579498291,43.58475112915039,337.14923095703125,528642.75,50
2,0,6,2,7,2,0.0,0.0,1.0,lc_lc_graph_0002,2.9869072437286377,54.72444152832031,429.2762145996094,477091.9375,50
3,0,6,2,7,3,0.8,0.2,0.0,lc_lc_graph_0003,3.9230916500091553,44.08480453491211,381.04449462890625,481236.84375,50
4,0,6,2,7,4,0.2,0.8,0.0,lc_lc_graph_0004,3.6209731101989746,44.020694732666016,399.9403076171875,477235.4375,50
5,0,6,2,7,5,0.8,0.0,0.2,lc_lc_graph_0005,3.9955554008483887,37.358665466308594,427.41241455078125,509908.53125,50
6,0,6,2,7,6,0.2,0.0,0.8,lc_lc_graph_0006,3.5918827056884766,39.544681549072266,324.3450622558594,569544.75,50
7,0,6,2,7,7,0.0,0.8,0.2,lc_lc_graph_0007,3.528040885925293,52.93522262573242,333.5213623046875,484481.875,50
8,0,6,2,7,8,0.0,0.2,0.8,lc_lc_graph_0008,3.343068838119507,40.11558532714844,471.5210266113281,511538.125,50
9,0,6,2,7,9,0.5,0.5,0.0,lc_lc_graph_0009,3.7013182640075684,47.29800796508789,378.9053955078125,465672.40625,50
10,0,6,2,7,10,0.5,0.0,0.5,lc_lc_graph_0010,3.772082805633545,43.82558059692383,408.8241882324219,525796.1875,50
11,0,6,2,7,11,0.0,0.5,0.5,lc_lc_graph_0011,3.7574872970581055,47.81034469604492,417.486328125,545275.0,50
12,0,6,2,7,12,0.6,0.2,0.2,lc_lc_graph_0012,4.097182273864746,42.21982192993164,345.49261474609375,500976.875,50
13,0,6,2,7,13,0.2,0.6,0.2,lc_lc_graph_0013,4.109258651733398,44.53623962402344,421.044921875,540846.0,50
