graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
0,0,nx_shortest_path_heuristic,11,11,2,15,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0000,2.8791143894195557,39.82413101196289,865.7449951171875,30.990367889404297,50,42,3,8.181818181818182,14
1,0,nx_shortest_path_heuristic,11,11,2,15,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0001,2.481451988220215,33.80341720581055,858.6097412109375,14.614542007446289,50,46,4,8.636363636363637,15
2,0,nx_shortest_path_heuristic,11,11,2,15,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0002,3.1226162910461426,40.325721740722656,752.1981811523438,50.14126968383789,50,36,2,6.7272727272727275,13
3,0,nx_shortest_path_heuristic,11,11,2,15,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0003,4.332520961761475,34.68775939941406,815.3206787109375,52.68138122558594,50,35,4,8.0,13
4,0,nx_shortest_path_heuristic,11,11,2,15,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0004,3.831109046936035,38.55706024169922,738.6348876953125,52.9815559387207,50,35,2,7.090909090909091,11
5,0,nx_shortest_path_heuristic,11,11,2,15,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0005,1.1627496480941772,43.85102462768555,928.7960205078125,26.240148544311523,50,48,4,7.909090909090909,14
6,0,nx_shortest_path_heuristic,11,11,2,15,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0006,3.1253573894500732,41.71267318725586,787.6668701171875,37.01486587524414,50,41,2,8.363636363636363,14
7,0,nx_shortest_path_heuristic,11,11,2,15,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0007,2.8511428833007812,55.607234954833984,854.9501342773438,35.064788818359375,50,44,4,8.272727272727273,13
8,0,nx_shortest_path_heuristic,11,11,2,15,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0008,2.299623966217041,51.99043655395508,858.0050659179688,34.20226287841797,50,42,2,6.7272727272727275,10
9,0,nx_shortest_path_heuristic,11,11,2,15,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0009,3.936915636062622,45.65652847290039,756.7149658203125,49.8710823059082,50,37,3,7.545454545454546,13
10,0,nx_shortest_path_heuristic,11,11,2,15,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0010,2.5963001251220703,37.23439025878906,690.6688232421875,19.943538665771484,50,45,2,6.636363636363637,15
11,0,nx_shortest_path_heuristic,11,11,2,15,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0011,2.7171621322631836,44.0003662109375,692.6229248046875,43.373435974121094,50,42,2,5.636363636363637,13
