graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
0,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0000,4.58331298828125,40.6240234375,657.1251831054688,56.53830337524414,50,39,3,7.0,12
1,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0001,3.19785475730896,32.176856994628906,784.56640625,29.455148696899414,50,42,5,8.7,12
2,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0002,3.657169818878174,40.37348175048828,611.0359497070312,59.215694427490234,50,34,2,6.1,11
3,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0003,4.51375675201416,34.7353630065918,688.7936401367188,55.923004150390625,50,34,4,7.5,12
4,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0004,3.880019426345825,38.55706024169922,714.718505859375,52.9815559387207,50,35,2,7.5,11
5,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0005,1.3386390209197998,42.77545928955078,824.0973510742188,22.036481857299805,50,47,3,7.8,12
6,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0006,3.7581567764282227,42.57127380371094,621.5360717773438,45.75223922729492,50,38,3,7.5,12
7,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0007,2.7518913745880127,56.488338470458984,828.7320556640625,30.350393295288086,50,45,5,8.9,11
8,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0008,3.053524971008301,46.46553421020508,801.001220703125,47.71506118774414,50,37,2,6.8,12
9,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0009,3.9404947757720947,46.26736831665039,631.2655029296875,51.41745376586914,50,37,3,7.0,11
10,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0010,3.4177463054656982,35.7109375,608.170166015625,38.535072326660156,50,40,2,6.5,12
11,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0011,3.009169101715088,41.07685470581055,656.5905151367188,48.33565902709961,50,40,2,5.8,12
12,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0012,2.2359251976013184,36.056129455566406,625.9578247070312,27.17391014099121,50,46,2,7.4,12
13,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0013,4.143975734710693,38.950313568115234,729.9716186523438,48.95173645019531,50,38,2,6.8,12
14,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0014,2.050096035003662,51.22105026245117,629.4521484375,43.631248474121094,50,44,3,6.8,12
15,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0015,4.095097541809082,50.201839447021484,769.731201171875,53.11309814453125,50,39,2,6.5,12
16,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0016,3.224243402481079,37.424861907958984,676.5271606445312,38.5856819152832,50,48,2,7.1,11
17,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0017,2.4498581886291504,37.2907600402832,598.8694458007812,36.653907775878906,50,41,2,6.5,12
18,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0018,5.870965003967285,30.92344093322754,568.0518188476562,75.21060943603516,50,31,2,5.7,10
19,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0019,5.4976606369018555,17.58740997314453,421.10205078125,89.6690444946289,50,34,3,4.7,7
20,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0020,1.907145380973816,44.882755279541016,736.7488403320312,28.843461990356445,50,44,3,6.4,10
21,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0021,5.324401378631592,30.162464141845703,537.9263916015625,66.49464416503906,50,35,2,5.9,11
22,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0022,4.102814197540283,32.98354721069336,535.240478515625,49.977134704589844,50,46,2,6.6,12
23,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0023,3.3037350177764893,36.044334411621094,565.2977294921875,51.50667953491211,50,43,2,6.4,11
24,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0024,4.580971717834473,28.596412658691406,547.3639526367188,54.53102111816406,50,34,4,8.0,12
25,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0025,3.9667763710021973,42.94861602783203,801.356201171875,51.76127624511719,50,41,3,6.7,11
26,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0026,3.138357639312744,21.96152114868164,445.05657958984375,48.89984893798828,50,36,5,7.9,10
27,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0027,4.159171104431152,35.39970779418945,627.3983154296875,48.98120880126953,50,36,2,7.1,11
28,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0028,4.251043796539307,21.36775016784668,443.24468994140625,54.719852447509766,50,34,2,7.6,11
29,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0029,1.4058934450149536,38.621864318847656,694.448486328125,15.927945137023926,50,47,3,7.6,12
30,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0030,5.121084213256836,28.70823097229004,502.1817932128906,63.75381851196289,50,45,3,6.4,12
31,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0031,3.517322063446045,44.40792465209961,852.2058715820312,40.99843978881836,50,40,5,7.9,10
32,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0032,3.4464476108551025,21.32498550415039,417.2331237792969,57.99053192138672,50,40,4,7.5,11
33,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0033,1.5923584699630737,42.007530212402344,643.9425048828125,11.094322204589844,50,49,4,7.2,12
34,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0034,4.665565490722656,29.868885040283203,302.1802062988281,75.68695831298828,50,38,2,5.0,10
35,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0035,3.7802207469940186,19.975360870361328,368.12127685546875,62.06913757324219,50,31,5,7.2,11
36,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0036,4.497642517089844,36.91222381591797,401.7767639160156,55.547088623046875,50,39,3,6.6,10
37,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0037,3.9989941120147705,40.38929748535156,591.6311645507812,61.71242141723633,50,33,2,6.6,11
38,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0038,3.6473758220672607,33.11860275268555,628.5557250976562,62.2658805847168,50,32,3,6.8,11
39,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0039,4.715226173400879,40.64692687988281,604.115966796875,58.965118408203125,50,33,3,6.3,10
40,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0040,4.733598709106445,30.15220832824707,682.6879272460938,58.9770393371582,50,32,3,7.6,12
41,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0041,2.9071550369262695,48.79649353027344,668.9714965820312,50.37523651123047,50,38,3,5.7,12
42,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0042,4.26647424697876,43.5544319152832,731.7416381835938,50.140445709228516,50,36,3,6.5,11
43,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0043,3.393448829650879,32.284183502197266,806.9318237304688,25.766983032226562,50,43,7,8.9,12
44,0,nx_shortest_path_heuristic,10,10,2,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0044,3.3192577362060547,39.88797378540039,708.3229370117188,54.73430633544922,50,41,2,6.2,12
45,0,nx_shortest_path_heuristic,10,10,2,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0045,4.644245147705078,51.25387191772461,712.2901000976562,59.24156188964844,50,34,2,5.8,12
46,0,nx_shortest_path_heuristic,10,10,2,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0046,3.9541258811950684,50.54750061035156,733.2337036132812,54.13969802856445,50,45,2,6.0,11
