graph_index,exact_duplicate_routes,routes_with_repeated_nodes,routes_with_self_loops,overlapping_edges,overlapping_edge_usages
0,0,0,0,19,41
1,0,0,0,10,39
2,0,0,0,13,32
3,0,0,0,17,46
4,0,0,0,15,43
5,0,0,0,9,19
6,0,0,0,13,37
7,0,0,0,16,46
8,0,0,0,9,29
9,0,0,0,19,41
10,0,0,0,6,17
11,0,0,0,5,10
12,0,0,0,11,23
13,0,0,0,11,27
14,0,0,0,10,23
15,0,0,0,11,23
16,0,0,0,7,18
17,0,0,0,7,21
18,0,0,0,12,29
19,0,0,0,7,15
20,0,0,0,5,10
21,0,0,0,10,25
22,0,0,0,9,18
23,0,0,0,8,21
24,0,0,0,21,56
25,0,0,0,9,25
26,0,0,0,20,52
27,0,0,0,15,40
28,0,0,0,21,50
29,0,0,0,10,23
30,0,0,0,5,16
31,0,0,0,14,39
32,0,0,0,18,43
33,0,0,0,6,14
34,0,0,0,6,12
35,0,0,0,22,52
36,0,0,0,14,33
37,0,0,0,14,36
38,0,0,0,17,42
39,0,0,0,14,35
40,0,0,0,13,42
41,0,0,0,5,10
42,0,0,0,7,25
43,0,0,0,14,43
44,0,0,0,7,15
45,0,0,0,9,19
46,0,0,0,3,6
47,0,0,0,8,24
48,0,0,0,11,30
49,0,0,0,21,48
50,0,0,0,13,33
51,0,0,0,6,14
52,0,0,0,10,21
53,0,0,0,19,49
54,0,0,0,20,52
55,0,0,0,10,20
56,0,0,0,15,41
57,0,0,0,17,47
58,0,0,0,10,28
59,0,0,0,13,47
60,0,0,0,11,39
61,0,0,0,23,60
62,0,0,0,11,30
63,0,0,0,22,50
64,0,0,0,14,34
65,0,0,0,10,21
66,0,0,0,12,34
67,0,0,0,11,25
68,0,0,0,11,34
69,0,0,0,13,27
70,0,0,0,7,16
71,0,0,0,10,30
72,0,0,0,22,53
73,0,0,0,20,56
74,0,0,0,8,19
75,0,0,0,10,20
76,0,0,0,8,19
77,0,0,0,14,34
78,0,0,0,14,37
79,0,0,0,18,54
80,0,0,0,13,29
81,0,0,0,18,48
82,0,0,0,10,29
83,0,0,0,21,52
84,0,0,0,10,24
