graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,target_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
0,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0000,2.420436382293701,37.31474304199219,1209.7655029296875,27.873287200927734,50,44,12,12.0,12
1,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0001,3.339874744415283,33.580753326416016,1101.0484619140625,23.219907760620117,50,44,12,12.0,12
2,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0002,1.9958126544952393,39.55088806152344,1296.239501953125,25.604829788208008,50,43,12,12.0,12
3,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0003,2.011240243911743,38.84138870239258,1164.074951171875,23.28953742980957,50,46,12,12.0,12
4,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0004,2.282029151916504,38.66905975341797,1225.192138671875,12.496259689331055,50,48,12,12.0,12
5,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0005,1.3003009557724,36.32954025268555,1411.0831298828125,16.494539260864258,50,47,12,12.0,12
6,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0006,2.903857946395874,41.01531219482422,1075.0426025390625,30.096731185913086,50,42,12,12.0,12
7,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0007,3.4911813735961914,35.255069732666016,1187.5445556640625,23.94312286376953,50,44,12,12.0,12
8,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0008,2.0179693698883057,36.08622360229492,1518.7725830078125,27.08717918395996,50,43,12,12.0,12
9,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0009,4.2541823387146,31.089628219604492,1155.615478515625,51.134090423583984,50,35,12,12.0,12
10,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0010,3.1121344566345215,33.330509185791016,1117.8001708984375,17.9379825592041,50,47,12,12.0,12
11,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0011,1.8685601949691772,35.89913558959961,1482.4351806640625,24.99762535095215,50,44,12,12.0,12
12,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0012,2.102588415145874,28.709325790405273,1036.0186767578125,17.732358932495117,50,46,12,12.0,12
13,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0013,3.438117027282715,39.79636764526367,1406.902587890625,18.504613876342773,50,47,12,12.0,12
14,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0014,2.0530245304107666,28.97369956970215,1147.3062744140625,27.065839767456055,50,43,12,12.0,12
15,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0015,1.8044298887252808,36.79450607299805,1513.0234375,18.558141708374023,50,47,12,12.0,12
16,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0016,2.8739571571350098,33.874446868896484,1057.9046630859375,21.48625946044922,50,46,12,12.0,12
17,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0017,1.8546127080917358,27.940004348754883,1137.554443359375,26.473033905029297,50,44,12,12.0,12
18,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0018,2.0170419216156006,32.05187225341797,973.3206176757812,24.01644515991211,50,46,12,12.0,12
19,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0019,3.4378585815429688,34.313087463378906,1265.065185546875,30.649303436279297,50,42,12,12.0,12
20,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0020,1.502401351928711,38.04347610473633,1463.0235595703125,22.651395797729492,50,46,12,12.0,12
21,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0021,2.901853322982788,32.76358413696289,1204.6436767578125,29.731014251708984,50,42,12,12.0,12
22,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0022,3.8339743614196777,30.061037063598633,1178.482177734375,18.315670013427734,50,46,12,12.0,12
23,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0023,1.142447829246521,35.38784408569336,1107.80712890625,14.374700546264648,50,48,12,12.0,12
24,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0024,2.298680305480957,24.996217727661133,824.27734375,22.585742950439453,50,45,12,12.0,12
25,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0025,3.780331611633301,38.32577896118164,1488.6092529296875,20.837486267089844,50,46,12,12.0,12
26,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0026,1.7126761674880981,30.385046005249023,783.2401123046875,28.9671688079834,50,45,12,12.0,12
27,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0027,2.0867810249328613,41.61931228637695,1151.9537353515625,20.345073699951172,50,46,12,12.0,12
28,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0028,2.7986083030700684,23.698328018188477,728.5718383789062,13.933640480041504,50,47,12,12.0,12
29,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0029,1.3342132568359375,30.790544509887695,1099.90283203125,14.027772903442383,50,47,12,12.0,12
30,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0030,1.3717327117919922,28.942262649536133,1036.830078125,7.644318103790283,50,49,12,12.0,12
31,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0031,3.7721571922302246,35.10719299316406,1148.8829345703125,33.458213806152344,50,41,12,12.0,12
32,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0032,1.16008722782135,24.647003173828125,746.9013671875,8.425128936767578,50,48,12,12.0,12
33,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0033,2.108842372894287,30.827226638793945,1130.0274658203125,19.580768585205078,50,46,12,12.0,12
34,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0034,3.244724750518799,27.023456573486328,874.7062377929688,19.216636657714844,50,47,12,12.0,12
35,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0035,0.9208122491836548,23.39342498779297,785.681640625,4.6729044914245605,50,49,12,12.0,12
36,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0036,1.3498787879943848,23.97390365600586,758.7831420898438,9.727028846740723,50,49,12,12.0,12
37,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0037,3.437605381011963,36.95273971557617,1161.8731689453125,33.386268615722656,50,41,12,12.0,12
38,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0038,1.8599581718444824,40.81404113769531,1192.4765625,29.340696334838867,50,44,12,12.0,12
39,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0039,2.424691677093506,33.878910064697266,1275.303466796875,23.40581512451172,50,44,12,12.0,12
40,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0040,3.292415142059326,32.2812385559082,1094.451171875,19.220001220703125,50,46,12,12.0,12
41,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0041,0.9292885661125183,39.60016632080078,1552.9278564453125,7.207444190979004,50,49,12,12.0,12
42,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0042,2.9997329711914062,35.46987533569336,1413.7801513671875,30.651018142700195,50,42,12,12.0,12
43,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0043,3.8531389236450195,30.231252670288086,1131.510986328125,22.898191452026367,50,44,12,12.0,12
44,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0044,1.8505994081497192,38.97161865234375,1482.22265625,24.081520080566406,50,44,12,12.0,12
45,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0045,3.1852283477783203,38.30516815185547,1630.864501953125,34.504695892333984,50,41,12,12.0,12
46,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0046,3.4081592559814453,39.420570373535156,1562.0667724609375,19.43178367614746,50,46,12,12.0,12
47,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0047,1.8579916954040527,31.609437942504883,1090.5987548828125,23.88358497619629,50,44,12,12.0,12
48,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0048,3.1560897827148438,25.88842010498047,972.1863403320312,33.618675231933594,50,41,12,12.0,12
49,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0049,3.3061327934265137,39.22658920288086,1256.1702880859375,29.62428855895996,50,43,12,12.0,12
50,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0050,1.8280551433563232,28.223430633544922,971.1825561523438,26.353952407836914,50,44,12,12.0,12
51,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0051,2.0706348419189453,26.451051712036133,936.5713500976562,15.795267105102539,50,46,12,12.0,12
52,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0052,2.252312183380127,37.62169647216797,1065.8297119140625,4.41931676864624,50,49,12,12.0,12
53,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0053,2.6419517993927,35.74929428100586,1269.005126953125,40.0107307434082,50,39,12,12.0,12
54,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0054,2.1853373050689697,46.026405334472656,1293.3321533203125,20.147354125976562,50,45,12,12.0,12
55,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0055,4.110310077667236,22.754587173461914,817.7496948242188,33.63496017456055,50,41,12,12.0,12
56,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0056,1.1034445762634277,34.39457321166992,1158.69580078125,10.045564651489258,50,48,12,12.0,12
57,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0057,2.183094024658203,37.75649642944336,1199.5650634765625,18.572294235229492,50,45,12,12.0,12
58,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0058,2.8264827728271484,33.080997467041016,1068.952880859375,18.879568099975586,50,47,12,12.0,12
59,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0059,1.2431550025939941,38.32329559326172,942.0341796875,12.328036308288574,50,47,12,12.0,12
60,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0060,3.923978805541992,35.74971389770508,1108.566650390625,45.86592483520508,50,37,12,12.0,12
61,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0061,4.634500503540039,33.25827407836914,1187.1463623046875,56.845821380615234,50,33,12,12.0,12
62,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0062,2.950716733932495,25.06338119506836,1107.3372802734375,45.29695510864258,50,37,12,12.0,12
63,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0063,2.67166805267334,34.294349670410156,1212.377685546875,27.32766342163086,50,43,12,12.0,12
64,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0064,2.6875462532043457,21.343013763427734,659.0149536132812,12.27835464477539,50,47,12,12.0,12
65,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0065,1.66963791847229,37.03657913208008,1456.0020751953125,20.318599700927734,50,45,12,12.0,12
66,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0066,3.6180179119110107,33.19086456298828,1161.596923828125,40.81998825073242,50,39,12,12.0,12
67,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0067,3.9272165298461914,32.980201721191406,1431.4503173828125,27.785602569580078,50,43,12,12.0,12
68,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0068,1.89152991771698,30.857980728149414,1071.225341796875,25.988250732421875,50,44,12,12.0,12
69,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0069,2.4320435523986816,32.79038619995117,1129.206298828125,19.377328872680664,50,45,12,12.0,12
70,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0070,3.630310535430908,27.171525955200195,1087.4361572265625,18.78350067138672,50,46,12,12.0,12
71,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0071,2.797132968902588,30.6588134765625,1166.9366455078125,42.728336334228516,50,38,12,12.0,12
